epoch,acc,loss,val_acc,val_loss
0,0.1515151560306549,2.4024834632873535,0.08695652335882187,1.9640811681747437
1,0.24242424964904785,2.044417142868042,0.1304347813129425,2.011357069015503
2,0.12121212482452393,2.2118752002716064,0.1304347813129425,1.9948574304580688
3,0.24242424964904785,2.039109945297241,0.043478261679410934,2.008512020111084
4,0.09090909361839294,2.227118730545044,0.1304347813129425,1.9915786981582642
5,0.27272728085517883,2.016183614730835,0.21739129722118378,1.9515165090560913
6,0.3333333432674408,1.908630132675171,0.17391304671764374,1.9469249248504639
7,0.39393940567970276,1.6828105449676514,0.21739129722118378,1.9365001916885376
8,0.27272728085517883,1.9000616073608398,0.21739129722118378,1.9513930082321167
9,0.3636363744735718,1.7436792850494385,0.21739129722118378,1.9566956758499146
10,0.27272728085517883,1.8078827857971191,0.17391304671764374,1.9805116653442383
11,0.3333333432674408,1.754921793937683,0.1304347813129425,2.0237996578216553
12,0.42424243688583374,1.548957347869873,0.21739129722118378,1.9584813117980957
